"","colour","fill","y","x","density","scaled","count","n","PANEL","group","ymin","ymax","size","linetype","alpha"
"21","#F8766D","#F8766D",1.22025193430449e-19,-3843.44422700587,1.22025193430449e-19,3.90710679707413e-17,1.20804941496144e-17,99,1,1,0,1.22025193430449e-19,0.5,1,0.1
"22","#F8766D","#F8766D",1.4853908953342e-19,-3835.61643835616,1.4853908953342e-19,4.75605135326432e-17,1.47053698638086e-17,99,1,1,0,1.4853908953342e-19,0.5,1,0.1
"23","#F8766D","#F8766D",1.25228481010888e-19,-3827.78864970646,1.25228481010888e-19,4.0096723929701e-17,1.23976196200779e-17,99,1,1,0,1.25228481010888e-19,0.5,1,0.1
"24","#F8766D","#F8766D",1.04962409667247e-19,-3819.96086105675,1.04962409667247e-19,3.36077602271475e-17,1.03912785570575e-17,99,1,1,0,1.04962409667247e-19,0.5,1,0.1
"25","#F8766D","#F8766D",1.22463788913428e-19,-3812.13307240704,1.22463788913428e-19,3.92115012160849e-17,1.21239151024293e-17,99,1,1,0,1.22463788913428e-19,0.5,1,0.1
"26","#F8766D","#F8766D",1.67590234500133e-19,-3804.30528375734,1.67590234500133e-19,5.36604717379064e-17,1.65914332155132e-17,99,1,1,0,1.67590234500133e-19,0.5,1,0.1
"27","#F8766D","#F8766D",2.02526586453396e-19,-3796.47749510763,2.02526586453396e-19,6.48466911032844e-17,2.00501320588862e-17,99,1,1,0,2.02526586453396e-19,0.5,1,0.1
"28","#F8766D","#F8766D",1.58791857847705e-19,-3788.64970645793,1.58791857847705e-19,5.08433324033548e-17,1.57203939269228e-17,99,1,1,0,1.58791857847705e-19,0.5,1,0.1
"29","#F8766D","#F8766D",1.51538507274131e-19,-3780.82191780822,1.51538507274131e-19,4.85208927062009e-17,1.50023122201389e-17,99,1,1,0,1.51538507274131e-19,0.5,1,0.1
"30","#F8766D","#F8766D",2.2296668303965e-19,-3772.99412915851,2.2296668303965e-19,7.13913756933992e-17,2.20737016209253e-17,99,1,1,0,2.2296668303965e-19,0.5,1,0.1
"31","#F8766D","#F8766D",2.07300378253953e-19,-3765.16634050881,2.07300378253953e-19,6.63752045083793e-17,2.05227374471414e-17,99,1,1,0,2.07300378253953e-19,0.5,1,0.1
"32","#F8766D","#F8766D",1.32970407387275e-19,-3757.3385518591,1.32970407387275e-19,4.25755999976067e-17,1.31640703313402e-17,99,1,1,0,1.32970407387275e-19,0.5,1,0.1
"33","#F8766D","#F8766D",3.96843801344815e-20,-3749.51076320939,3.96843801344815e-20,1.27064835549293e-17,3.92875363331367e-18,99,1,1,0,3.96843801344815e-20,0.5,1,0.1
