"","colour","fill","y","x","density","scaled","count","n","PANEL","group","ymin","ymax","size","linetype","alpha"
"18","#F8766D","#F8766D",3.3453905005988e-15,-3866.92759295499,3.3453905005988e-15,1.56488352315471e-12,3.3453905005988e-13,100,1,1,0,3.3453905005988e-15,0.5,1,0.1
"19","#F8766D","#F8766D",7.62540361506624e-15,-3859.09980430528,7.62540361506624e-15,3.56695831846404e-12,7.62540361506624e-13,100,1,1,0,7.62540361506624e-15,0.5,1,0.1
"20","#F8766D","#F8766D",1.69678881468437e-14,-3851.27201565558,1.69678881468437e-14,7.93712081712884e-12,1.69678881468437e-12,100,1,1,0,1.69678881468437e-14,0.5,1,0.1
"21","#F8766D","#F8766D",3.68250781858707e-14,-3843.44422700587,3.68250781858707e-14,1.7225779197268e-11,3.68250781858707e-12,100,1,1,0,3.68250781858707e-14,0.5,1,0.1
"22","#F8766D","#F8766D",7.78590605570736e-14,-3835.61643835616,7.78590605570736e-14,3.642037034907e-11,7.78590605570736e-12,100,1,1,0,7.78590605570736e-14,0.5,1,0.1
"23","#F8766D","#F8766D",1.60131619806137e-13,-3827.78864970646,1.60131619806137e-13,7.49052564493872e-11,1.60131619806137e-11,100,1,1,0,1.60131619806137e-13,0.5,1,0.1
"24","#F8766D","#F8766D",3.3180710793584e-13,-3819.96086105675,3.3180710793584e-13,1.55210423411399e-10,3.3180710793584e-11,100,1,1,0,3.3180710793584e-13,0.5,1,0.1
"25","#F8766D","#F8766D",7.05214605307283e-13,-3812.13307240704,7.05214605307283e-13,3.29880387935544e-10,7.05214605307283e-11,100,1,1,0,7.05214605307283e-13,0.5,1,0.1
"26","#F8766D","#F8766D",1.46787226872462e-12,-3804.30528375734,1.46787226872462e-12,6.86631090454677e-10,1.46787226872462e-10,100,1,1,0,1.46787226872462e-12,0.5,1,0.1
"27","#F8766D","#F8766D",2.99155057173803e-12,-3796.47749510763,2.99155057173803e-12,1.39936673986458e-09,2.99155057173803e-10,100,1,1,0,2.99155057173803e-12,0.5,1,0.1
"28","#F8766D","#F8766D",5.96822357152277e-12,-3788.64970645793,5.96822357152277e-12,2.79177415249663e-09,5.96822357152277e-10,100,1,1,0,5.96822357152277e-12,0.5,1,0.1
"29","#F8766D","#F8766D",1.16525841539481e-11,-3780.82191780822,1.16525841539481e-11,5.45076484835571e-09,1.16525841539481e-09,100,1,1,0,1.16525841539481e-11,0.5,1,0.1
"30","#F8766D","#F8766D",2.22588192942813e-11,-3772.99412915851,2.22588192942813e-11,1.04120758256066e-08,2.22588192942813e-09,100,1,1,0,2.22588192942813e-11,0.5,1,0.1
"31","#F8766D","#F8766D",4.1585637609525e-11,-3765.16634050881,4.1585637609525e-11,1.94526406060459e-08,4.1585637609525e-09,100,1,1,0,4.1585637609525e-11,0.5,1,0.1
"32","#F8766D","#F8766D",7.59602717471438e-11,-3757.3385518591,7.59602717471438e-11,3.55321681131642e-08,7.59602717471438e-09,100,1,1,0,7.59602717471438e-11,0.5,1,0.1
"33","#F8766D","#F8766D",1.42130159988135e-10,-3749.51076320939,1.42130159988135e-10,6.64846586576258e-08,1.42130159988135e-08,100,1,1,0,1.42130159988135e-10,0.5,1,0.1
"34","#F8766D","#F8766D",2.63772444985212e-10,-3741.68297455969,2.63772444985212e-10,1.23385641510522e-07,2.63772444985212e-08,100,1,1,0,2.63772444985212e-10,0.5,1,0.1
"35","#F8766D","#F8766D",4.80179629564875e-10,-3733.85518590998,4.80179629564875e-10,2.24615090622785e-07,4.80179629564875e-08,100,1,1,0,4.80179629564875e-10,0.5,1,0.1
"36","#F8766D","#F8766D",8.57508725301141e-10,-3726.02739726027,8.57508725301141e-10,4.01119473181071e-07,8.57508725301141e-08,100,1,1,0,8.57508725301141e-10,0.5,1,0.1
"37","#F8766D","#F8766D",1.5023645723432e-09,-3718.19960861057,1.5023645723432e-09,7.02765660573981e-07,1.5023645723432e-07,100,1,1,0,1.5023645723432e-09,0.5,1,0.1
